KEY,RUSSIAN,Polski,Svenska,Čeština,Slovenčina,Suomi,Italiano,Deutsch,Français
exercises.items.35.instructions.3,Почувствуйте растяжение трицепса,Poczuj rozciąganie tricepsów,Känn stretchen i dina triceps,Vnímejte protažení tricepsu,Cíťte natiahnutie tricepsu,Tunne venytys tricepsissäsi,Senti lo stiramento nei tuoi tricipiti,Spüren Sie die Dehnung in Ihrem Trizeps,Sentez l'étirement dans vos triceps
exercises.items.35.instructions.4,Поменяйте руки и повторите,Zmień ręce i powtórz,Byt händer och upprepa,Vyměňte ruce a opakujte,Vymeňte ruky a opakujte,Vaihda kättä ja toista,Cambia mano e ripeti,Wechseln Sie den Besitzer und wiederholen Sie den Vorgang,Changez de main et répétez
exercises.items.35.tips.0,Не делайте резких движений,Nie wykonuj żadnych gwałtownych ruchów,Gör inga plötsliga rörelser,Nedělejte žádné náhlé pohyby,Nerobte žiadne náhle pohyby,Älä tee äkillisiä liikkeitä,Non fare movimenti bruschi,Machen Sie keine plötzlichen Bewegungen,Ne faites pas de mouvements brusques
exercises.items.35.tips.1,Растягивайтесь плавно,Rozciągaj się płynnie,Sträck ut smidigt,Plynule se protahujte,Hladko natiahnite,Venytä pehmeästi,Allungare dolcemente,Sanft dehnen,Étirez-vous en douceur
exercises.items.35.tips.2,Дышите равномерно,Oddychaj równomiernie,Andas jämnt,Dýchejte rovnoměrně,Dýchajte rovnomerne,Hengitä tasaisesti,Respirare in modo uniforme,Atme gleichmäßig,Respirez régulièrement
exercises.items.35.tips.3,Выполняйте для обеих рук,Wykonaj dla obu rąk,Utför för båda händerna,Proveďte pro obě ruce,Vykonajte pre obe ruky,Suorita molemmille käsille,Eseguire per entrambe le mani,Mit beiden Händen ausführen,Exécuter pour les deux mains
,,,,,,,,,
exercises.items.36.title,Змейка между конусами,Wąż między szyszkami,Orm mellan kottar,Had mezi kužely,Had medzi kužeľmi,Käärme käpyjen välissä,Serpente tra i coni,Schlange zwischen Zapfen,Serpent entre les cônes
exercises.items.36.instructions.0,Расставьте конусы змейкой на расстоянии 2-3 метра,Ułóż szyszki w kształcie węża w odległości 2-3 metrów,Lägg kottarna i ett ormliknande mönster på 2-3 meters avstånd,Šišky umístěte do hadího vzoru ve vzdálenosti 2-3 metrů,Šišky umiestnite do hadieho vzoru vo vzdialenosti 2-3 metre,Aseta käpyjä käärmemäisesti 2-3 metrin etäisyydelle,Posizionare i coni a forma di serpente a una distanza di 2-3 metri,Platzieren Sie die Kegel in einem schlangenartigen Muster in einem Abstand von 2-3 Metern,Placez les cônes en forme de serpent à une distance de 2 à 3 mètres
exercises.items.36.instructions.1,"Начните бег, огибая каждый конус",Zacznij biegać wokół każdego pachołka,Börja springa runt varje kon,Začněte běhat kolem každého kužele,Začnite behať okolo každého kužeľa,Aloita juokseminen jokaisen kartion ympäri,Inizia a correre intorno a ogni cono,"Beginnen Sie, um jeden Kegel herumzulaufen",Commencez à courir autour de chaque cône
exercises.items.36.instructions.2,Держите низкий центр тяжести,Utrzymuj środek ciężkości nisko,Håll din tyngdpunkt låg,Udržujte své těžiště nízko,Udržujte svoje ťažisko nízko,Pidä painopiste matalalla,Mantieni il baricentro basso,Halten Sie Ihren Schwerpunkt niedrig,Gardez votre centre de gravité bas
exercises.items.36.instructions.3,Работайте ногами быстро и часто,Ćwicz nogi szybko i często,Arbeta dina ben snabbt och ofta,Pracujte nohama rychle a často,Pracujte nohami rýchlo a často,Työskentele jaloillasi nopeasti ja usein,Allena le gambe velocemente e spesso,Trainieren Sie Ihre Beine schnell und oft,Travaillez vos jambes rapidement et souvent
exercises.items.36.instructions.4,Следите за правильной техникой поворотов,"Upewnij się, że stosujesz prawidłową technikę skręcania.",Se till att du använder rätt svarvteknik.,"Ujistěte se, že používáte správnou techniku ​​otáčení.","Uistite sa, že používate správnu techniku ​​otáčania.","Varmista, että käytät oikeaa kääntötekniikkaa.",Assicuratevi di utilizzare la tecnica di svolta corretta.,Achten Sie auf die richtige Drehtechnik.,Assurez-vous d’utiliser une technique de tournage appropriée.
exercises.items.36.tips.0,Начинайте с медленного темпа,Zacznij w wolnym tempie,Börja i långsam takt,Začněte pomalým tempem,Začnite pomalým tempom,Aloita hitaasti,Inizia a un ritmo lento,Beginnen Sie langsam,Commencez à un rythme lent
exercises.items.36.tips.1,"Следите за техникой, а не за скоростью","Skup się na technice, nie na szybkości.","Fokusera på teknik, inte snabbhet.","Soustřeďte se na techniku, ne na rychlost.","Sústreďte sa na techniku, nie na rýchlosť.","Keskity tekniikkaan, älä nopeuteen.","Concentratevi sulla tecnica, non sulla velocità.","Konzentrieren Sie sich auf die Technik, nicht auf die Geschwindigkeit.","Concentrez-vous sur la technique, pas sur la vitesse."
exercises.items.36.tips.2,Держите голову поднятой,Trzymaj głowę do góry,Håll huvudet uppe,Hlavu vzhůru,Hlavu hore,Pidä pää pystyssä,Tieni la testa alta,Kopf hoch,Gardez la tête haute
exercises.items.36.tips.3,Используйте короткие быстрые шаги,"Stosuj krótkie, szybkie kroki","Använd korta, snabba steg","Používejte krátké, rychlé kroky","Používajte krátke, rýchle kroky","Käytä lyhyitä, nopeita askeleita",Utilizzare passaggi brevi e rapidi,"Verwenden Sie kurze, schnelle Schritte",Utilisez des étapes courtes et rapides
,,,,,,,,,
exercises.items.37.title,Быстрые касания ногами,Szybkie dotknięcie stóp,Snabba fotberöringar,Rychlé doteky nohou,Rýchle dotyky nôh,Nopeat kosketukset jalkaan,Tocchi rapidi dei piedi,Schnelle Fußberührungen,Touches de pied rapides
exercises.items.37.instructions.0,Встаньте рядом с мячом,Stań obok piłki,Stå bredvid bollen,Postavte se vedle míče,Postavte sa vedľa lopty,Seiso pallon vieressä,Mettiti accanto alla palla,Stehen Sie neben dem Ball,Tenez-vous à côté du ballon
exercises.items.37.instructions.1,Быстро касайтесь мяча ногой,Szybko dotknij piłki nogą,Rör bollen snabbt med foten,Rychle se dotkněte míče nohou,Rýchlo sa dotknite lopty nohou,Kosketa palloa nopeasti jalallasi,Tocca la palla velocemente con il piede,Berühre den Ball schnell mit deinem Fuß,Touchez le ballon rapidement avec votre pied
exercises.items.37.instructions.2,Меняйте ноги каждые 2-3 касания,Zmień nogi co 2-3 dotknięcia,Byt ben var 2-3 beröring,Vyměňte nohy každé 2-3 doteky,Vymeňte nohy každé 2-3 dotyky,Vaihda jalkaa 2-3 kosketuksen välein,Cambiare gamba ogni 2-3 tocchi,Wechseln Sie alle 2-3 Berührungen das Bein,Changer de jambe tous les 2-3 contacts
exercises.items.37.instructions.3,Поддерживайте постоянный ритм,Utrzymuj stały rytm,Håll en konstant rytm,Udržujte stálý rytmus,Udržujte stály rytmus,Säilytä jatkuva rytmi,Mantenere un ritmo costante,Halten Sie einen konstanten Rhythmus ein,Maintenir un rythme constant
exercises.items.37.instructions.4,Выполните 30-60 секунд,Wykonuj przez 30–60 sekund,Utför i 30-60 sekunder,Provádějte 30-60 sekund,Vykonajte 30-60 sekúnd,Suorita 30-60 sekuntia,Eseguire per 30-60 secondi,30–60 Sekunden lang ausführen,Exécutez pendant 30 à 60 secondes
exercises.items.37.tips.0,Держите вес тела на опорной ноге,Przenieś ciężar ciała na nogę podporową,Håll din kroppsvikt på ditt stödben,Udržujte váhu těla na podpůrné noze,Udržujte váhu tela na podpornej nohe,Pidä kehosi painosi tukijalassasi,Mantieni il peso del corpo sulla gamba di appoggio,Halten Sie Ihr Körpergewicht auf Ihrem Standbein,Gardez le poids de votre corps sur votre jambe d'appui
exercises.items.37.tips.1,"Работайте быстро, но контролируемо","Pracuj szybko, ale w sposób kontrolowany",Arbeta snabbt men kontrollerat,"Pracujte rychle, ale kontrolovaně","Pracujte rýchlo, ale kontrolovane","Työskentele nopeasti, mutta hallitusti",Lavorare velocemente ma in modo controllato,"Arbeiten Sie zügig, aber kontrolliert",Travailler rapidement mais de manière contrôlée
exercises.items.37.tips.2,Не теряйте равновесие,Nie trać równowagi,Tappa inte balansen,Neztrácejte rovnováhu,Nestrácajte rovnováhu,Älä menetä tasapainoasi,Non perdere l'equilibrio,Verlieren Sie nicht das Gleichgewicht,Ne perdez pas l'équilibre
exercises.items.37.tips.3,Следите за техникой касания,Uważaj na technikę dotyku,Titta på din beröringsteknik,Sledujte svou techniku ​​dotyku,Sledujte svoju techniku ​​dotyku,Tarkkaile kosketustekniikkaasi,Fai attenzione alla tua tecnica di tocco,Achten Sie auf Ihre Berührungstechnik,Surveillez votre technique de toucher
,,,,,,,,,
exercises.items.38.title,Прыжки с поворотами,Skoki z obrotami,Hoppar med svängar,Skoky s obraty,Skoky s obratmi,Hyppää käännöksillä,Salti con curve,Sprünge mit Drehungen,Sauts avec virages
exercises.items.38.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.38.instructions.1,Сделайте прыжок вверх,Zrób skok,Gör ett hopp upp,Vyskočte nahoru,Vyskočte hore,Tee hyppy ylös,Fai un salto in alto,Mach einen Sprung nach oben,Faire un saut
exercises.items.38.instructions.2,Во время прыжка повернитесь на 180 градусов,Obróć się o 180 stopni podczas skoku,Vrid 180 grader medan du hoppar,Při skákání se otočte o 180 stupňů,Počas skákania sa otočte o 180 stupňov,Käänny 180 astetta hyppääessäsi,Girare di 180 gradi mentre si salta,Drehen Sie sich beim Springen um 180 Grad,Tournez à 180 degrés en sautant
exercises.items.38.instructions.3,Приземлитесь мягко на обе ноги,Ląduj miękko na obu stopach.,Landa mjukt på båda fötterna.,Přistaňte jemně na obě nohy.,Dostaňte mäkko na obe nohy.,Laskeudu pehmeästi molemmille jaloille.,Atterrare dolcemente su entrambi i piedi.,Landen Sie sanft auf beiden Füßen.,Atterrissez doucement sur vos deux pieds.
exercises.items.38.instructions.4,Сразу повернитесь обратно и повторите,Natychmiast odwróć się i powtórz,Vänd omedelbart tillbaka och upprepa,Okamžitě se otočte a opakujte,Okamžite sa otočte a opakujte,Käänny välittömästi takaisin ja toista,Tornare indietro immediatamente e ripetere,Sofort umkehren und wiederholen,Revenez immédiatement en arrière et répétez
exercises.items.38.tips.0,Приземляйтесь на полусогнутые ноги,Ląduj z ugiętymi nogami,Landa med böjda ben,Přistaňte s pokrčenýma nohama,Pristaňte s pokrčenými nohami,Laskeudu jalat koukussa,Atterra con le gambe piegate,Lande mit gebeugten Beinen,Atterrissez avec les jambes pliées
exercises.items.38.tips.1,Работайте руками для баланса,Użyj ramion do utrzymania równowagi,Använd armarna för balans,Pro rovnováhu použijte paže,Použite ruky na rovnováhu,Käytä käsiäsi tasapainoon,Usa le braccia per mantenere l'equilibrio,Verwenden Sie Ihre Arme zum Balancieren,Utilisez vos bras pour garder l'équilibre
exercises.items.38.tips.2,Начинайте с небольших поворотов,Zacznij od małych obrotów,Börja med små svängar,Začněte malými zatáčkami,Začnite malými zákrutami,Aloita pienillä käännöksillä,Inizia con piccole curve,Beginnen Sie mit kleinen Kurven,Commencez par de petits virages
exercises.items.38.tips.3,Следите за техникой приземления,Uważaj na technikę lądowania,Titta på din landningsteknik,Pozor na techniku ​​přistání,Sledujte techniku ​​pristátia,Tarkkaile laskeutumistekniikkaasi,Fai attenzione alla tecnica di atterraggio,Achten Sie auf Ihre Landetechnik,Surveillez votre technique d'atterrissage
,,,,,,,,,
exercises.items.39.title,Быстрые передачи мяча,Szybkie podania piłki,Snabba bollpassningar,Rychlé přihrávky míče,Rýchle prihrávky lopty,Nopeita pallonsyöttöjä,Passaggi rapidi della palla,Schnelle Pässe,Passes rapides du ballon
exercises.items.39.instructions.0,Встаньте лицом к стене на расстоянии 2-3 метра,Stań twarzą do ściany w odległości 2-3 metrów,Stå vänd mot väggen på 2-3 meters avstånd,Postavte se čelem ke zdi ve vzdálenosti 2-3 metry,Postavte sa čelom k stene vo vzdialenosti 2-3 metre,Seiso seinää vasten 2-3 metrin etäisyydellä,Posizionarsi di fronte al muro a una distanza di 2-3 metri,Stellen Sie sich mit dem Gesicht zur Wand in einem Abstand von 2-3 Metern,Tenez-vous face au mur à une distance de 2 à 3 mètres
exercises.items.39.instructions.1,Быстро передавайте мяч в стену,Szybko podaj piłkę do ściany,Passa bollen snabbt till väggen,Přihrávejte míč rychle ke zdi,Rýchlo prihrajte loptu k stene,Syötä pallo nopeasti seinään,Passare la palla velocemente al muro,Passen Sie den Ball schnell zur Wand,Passez le ballon rapidement au mur
exercises.items.39.instructions.2,Ловите отскок и сразу передавайте обратно,Złap piłkę odbitą i natychmiast podaj ją z powrotem,Fånga returen och skicka tillbaka den omedelbart,Zachyťte odraz a okamžitě jej předejte zpět,Zachyťte odraz a okamžite ho odovzdajte späť,Ota kiinni pallosta ja syötä se välittömästi takaisin,Prendi il rimbalzo e passalo subito indietro,Fangen Sie den Rebound und geben Sie ihn sofort zurück,Attrapez le rebond et passez-le immédiatement en arrière
exercises.items.39.instructions.3,Работайте обеими руками,Pracuj obiema rękami,Arbeta med båda händerna,Pracujte oběma rukama,Pracujte oboma rukami,Työskentele molemmilla käsillä,Lavorare con entrambe le mani,Mit beiden Händen arbeiten,Travailler avec les deux mains
exercises.items.39.instructions.4,Выполните 30-45 секунд,Wykonuj przez 30–45 sekund,Utför i 30-45 sekunder,Provádějte 30-45 sekund,Vykonajte 30-45 sekúnd,Suorita 30-45 sekuntia,Eseguire per 30-45 secondi,30–45 Sekunden lang ausführen,Exécutez pendant 30 à 45 secondes
exercises.items.39.tips.0,Используйте правильную технику передачи,Stosuj prawidłową technikę podań,Använd rätt passningsteknik,Používejte správnou techniku ​​přihrávek,Používajte správnu techniku ​​prihrávok,Käytä oikeaa syöttötekniikkaa,Utilizzare la tecnica di passaggio corretta,Verwenden Sie die richtige Passtechnik,Utiliser une technique de passe appropriée
exercises.items.39.tips.1,Следите глазами за мячом,Skup się na piłce,Håll ögonen på bollen,Mějte oči na míči,Majte oči na lopte,Pidä silmäsi pallossa,Tieni gli occhi sulla palla,Behalten Sie den Ball im Auge,Gardez les yeux sur la balle
exercises.items.39.tips.2,"Работайте быстро, но точно","Pracuj szybko, ale dokładnie",Arbeta snabbt men noggrant,"Pracujte rychle, ale přesně","Pracujte rýchlo, ale presne",Työskentele nopeasti mutta tarkasti,Lavorare velocemente ma con precisione,"Arbeiten Sie schnell, aber genau",Travaillez rapidement mais avec précision
exercises.items.39.tips.3,Держите руки расслабленными,Trzymaj ręce rozluźnione,Håll händerna avslappnade,Udržujte ruce uvolněné,Udržujte ruky uvoľnené,Pidä kätesi rentoina,Tieni le mani rilassate,Halten Sie Ihre Hände entspannt,Gardez vos mains détendues
,,,,,,,,,
exercises.items.40.title,Бег спиной вперед,Bieganie wstecz,Springer baklänges,Běh vzad,Beh dozadu,Juokseminen taaksepäin,Correre all'indietro,Rückwärtslaufen,Courir à reculons
exercises.items.40.instructions.0,Начните с медленного бега спиной вперед,Zacznij od powolnego biegu do tyłu.,Börja med att springa sakta bakåt.,Začněte pomalým běháním vzad.,Začnite pomalým behom vzad.,Aloita juoksemalla hitaasti taaksepäin.,Inizia correndo lentamente all'indietro.,"Beginnen Sie, indem Sie langsam rückwärts laufen.",Commencez par courir lentement en arrière.
exercises.items.40.instructions.1,Часто оглядывайтесь через плечо,Często oglądaj się przez ramię,Titta över axeln ofta,Často se dívejte přes rameno,Často sa pozerajte cez rameno,Katso usein olkapääsi yli,Guardati spesso alle spalle,Schauen Sie oft über Ihre Schulter,Regardez souvent par-dessus votre épaule
exercises.items.40.instructions.2,Держите центр тяжести низко,Utrzymuj środek ciężkości nisko,Håll din tyngdpunkt låg,Udržujte své těžiště nízko,Udržujte svoje ťažisko nízko,Pidä painopiste matalalla,Mantieni il baricentro basso,Halten Sie Ihren Schwerpunkt niedrig,Gardez votre centre de gravité bas
exercises.items.40.instructions.3,Работайте руками для баланса,Użyj ramion do utrzymania równowagi,Använd armarna för balans,Pro rovnováhu použijte paže,Použite ruky na rovnováhu,Käytä käsiäsi tasapainoon,Usa le braccia per mantenere l'equilibrio,Verwenden Sie Ihre Arme zum Balancieren,Utilisez vos bras pour garder l'équilibre
exercises.items.40.instructions.4,Выполните 20-30 метров,Ukończ 20-30 metrów,Kör 20-30 meter,Kompletní 20-30 metrů,Kompletné 20-30 metrov,Ajettu 20-30 metriä,Completa 20-30 metri,Schließe 20–30 Meter ab,Compléter 20-30 mètres
exercises.items.40.tips.0,Начинайте очень медленно,Zacznij bardzo powoli,Börja väldigt långsamt,Začněte velmi pomalu,Začnite veľmi pomaly,Aloita hyvin hitaasti,Inizia molto lentamente,Beginnen Sie ganz langsam,Commencez très lentement
exercises.items.40.tips.1,Всегда проверяйте пространство за собой,Zawsze sprawdzaj przestrzeń za sobą,Kontrollera alltid utrymmet bakom dig,Vždy zkontrolujte prostor za vámi,Vždy skontrolujte priestor za sebou,Tarkista aina takanasi oleva tila,Controlla sempre lo spazio dietro di te,Überprüfen Sie immer den Raum hinter Ihnen,Vérifiez toujours l'espace derrière vous
exercises.items.40.tips.2,Держите колени слегка согнутыми,Trzymaj kolana lekko zgięte,Håll knäna lätt böjda,Kolena mějte mírně pokrčená,Kolená majte mierne pokrčené,Pidä polvet hieman koukussa,Tieni le ginocchia leggermente piegate,Halten Sie Ihre Knie leicht gebeugt,Gardez vos genoux légèrement pliés
exercises.items.40.tips.3,Не торопитесь с увеличением скорости,Nie spiesz się ze zwiększaniem prędkości,Rusa inte in i ökande hastighet,Nespěchejte se zvyšováním rychlosti,Neponáhľajte sa so zvyšovaním rýchlosti,Älä kiirehdi nopeuteen,Non affrettarti ad aumentare la velocità,Erhöhen Sie die Geschwindigkeit nicht überstürzt,Ne vous précipitez pas pour augmenter la vitesse
,,,,,,,,,
exercises.items.41.title,Приседания с весом,Przysiady z ciężarkami,Squats med vikter,Dřepy se závažím,Drepy so závažím,Kyykky painoilla,Squat con pesi,Kniebeugen mit Gewichten,Squats avec poids
exercises.items.41.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.41.instructions.1,Возьмите гантели или штангу,Weź hantle lub sztangę,Ta hantlar eller en skivstång,Vezměte si činky nebo činku,Vezmite si činky alebo činku,Ota käsipainot tai tanko,Prendi dei manubri o un bilanciere,Nehmen Sie Hanteln oder eine Langhantel,Prenez des haltères ou une barre
exercises.items.41.instructions.2,Приседайте до параллели с полом,"Wykonuj przysiady, aż palce stóp znajdą się równolegle do podłogi.",Sitt på huk tills tårna är parallella med golvet.,"Dřepněte si, dokud nebudou prsty u nohou rovnoběžné s podlahou.","Drepujte, kým prsty na nohách nebudú rovnobežné s podlahou.","Kyykky, kunnes varpaat ovat yhdensuuntaiset lattian kanssa.",Accovacciatevi finché le dita dei piedi non sono parallele al pavimento.,"Gehen Sie in die Hocke, bis Ihre Zehen parallel zum Boden sind.",Accroupissez-vous jusqu’à ce que vos orteils soient parallèles au sol.
exercises.items.41.instructions.3,"Вставайте, используя силу ног","Wstań, wykorzystując siłę nóg",Gå upp med styrkan i dina ben,Vstávejte pomocí síly svých nohou,Vstaňte pomocou sily nôh,Nouse ylös käyttämällä jalkojen voimaa,Alzati usando la forza delle tue gambe,Stehen Sie mit der Kraft Ihrer Beine auf,Levez-vous en utilisant la force de vos jambes
exercises.items.41.instructions.4,Выполните 3-4 подхода по 8-12 повторений,Wykonaj 3-4 serie po 8-12 powtórzeń,Utför 3-4 set med 8-12 reps,Proveďte 3-4 sady po 8-12 opakováních,Vykonajte 3-4 sady po 8-12 opakovaní,Suorita 3-4 sarjaa 8-12 toistoa,Eseguire 3-4 serie da 8-12 ripetizioni,Führen Sie 3-4 Sätze mit 8-12 Wiederholungen durch,Effectuez 3 à 4 séries de 8 à 12 répétitions
exercises.items.41.tips.0,Держите спину прямой,Trzymaj plecy prosto,Håll ryggen rak,Udržujte záda rovná,Chrbát držte rovno,Pidä selkäsi suorana,Tieni la schiena dritta,Halten Sie Ihren Rücken gerade,Gardez le dos droit
exercises.items.41.tips.1,Не округляйте поясницу,Nie zaokrąglaj dolnej części pleców,Runda inte nedre delen av ryggen,Nezakulacujte spodní část zad,Nezaobľujte spodnú časť chrbta,Älä pyöristä alaselkääsi,Non arrotondare la parte bassa della schiena,Machen Sie keinen Rundumblick im unteren Rücken,Ne arrondissez pas le bas du dos
exercises.items.41.tips.2,Колени не должны выходить за носки,Twoje kolana nie powinny wychodzić poza palce stóp.,Dina knän ska inte gå längre än tårna.,Vaše kolena by neměla přesahovat prsty u nohou.,Kolená by nemali presahovať prsty na nohách.,Polvisi eivät saa ylittää varpaitasi.,Le ginocchia non devono superare le dita dei piedi.,Ihre Knie sollten nicht über Ihre Zehen hinausragen.,Vos genoux ne doivent pas dépasser vos orteils.
exercises.items.41.tips.3,Начинайте с легкого веса,Zacznij od lekkich ciężarków,Börja med lätta vikter,Začněte s lehkými váhami,Začnite s ľahkými váhami,Aloita kevyillä painoilla,Inizia con pesi leggeri,Beginnen Sie mit leichten Gewichten,Commencez avec des poids légers
,,,,,,,,,
exercises.items.42.title,Становая тяга,Martwy ciąg,Marklyft,Mrtvý tah,Mŕtvy ťah,Maastaveto,Stacco da terra,Kreuzheben,Soulevé de terre
exercises.items.42.instructions.0,"Встаньте прямо, ноги на ширине плеч","Stań prosto, rozstawiając stopy na szerokość ramion",Stå rakt med fötterna axelbrett isär,Postavte se rovně s nohama na šířku ramen,Postavte sa rovno s nohami na šírku ramien,Seiso suorana jalat hartioiden leveydellä toisistaan,Stai in piedi dritto con i piedi alla larghezza delle spalle,Stehen Sie gerade mit schulterbreit auseinander stehenden Füßen,"Tenez-vous droit, les pieds écartés à la largeur des épaules"
exercises.items.42.instructions.1,Возьмите штангу с пола прямым хватом,Podnieś sztangę z podłogi nachwytem.,Ta skivstången från golvet med ett överhandsgrepp.,Vezměte činku z podlahy nadhmatem.,Vezmite činku z podlahy úchopom nadhmatom.,Ota tanko lattiasta käsikahvalla.,Prendi il bilanciere da terra con una presa prona.,Heben Sie die Langhantel mit einem Oberhandgriff vom Boden.,Prenez la barre du sol avec une prise en pronation.
exercises.items.42.instructions.2,Согните ноги в коленях и отведите таз назад,Zegnij kolana i przesuń miednicę do tyłu,Böj knäna och flytta bäckenet bakåt,Pokrčte kolena a posuňte pánev dozadu,Pokrčte kolená a posuňte panvu dozadu,Taivuta polviasi ja siirrä lantiota taaksepäin,Piega le ginocchia e sposta il bacino indietro,Beugen Sie die Knie und bewegen Sie das Becken nach hinten,Pliez vos genoux et déplacez votre bassin vers l'arrière
exercises.items.42.instructions.3,"Поднимите штангу, разгибая ноги и спину",Podnieś sztangę prostując nogi i plecy.,Lyft skivstången genom att räta ut benen och ryggen.,Zvedněte činku narovnáním nohou a zad.,Zdvihnite činku narovnaním nôh a chrbta.,Nosta tankoa suoristamalla jalkojasi ja selkääsi.,Sollevare il bilanciere raddrizzando le gambe e la schiena.,"Heben Sie die Langhantel an, indem Sie Ihre Beine und Ihren Rücken strecken.",Soulevez la barre en redressant vos jambes et votre dos.
exercises.items.42.instructions.4,Верните штангу на пол контролируемо,Odłóż sztangę na podłogę w sposób kontrolowany.,Sätt tillbaka stången till golvet på ett kontrollerat sätt.,Vraťte tyč kontrolovaně na podlahu.,Vráťte tyč kontrolovane na podlahu.,Palauta tanko lattialle hallitusti.,Riportare la barra a terra in modo controllato.,Bringen Sie die Stange kontrolliert wieder auf den Boden.,Remettez la barre au sol de manière contrôlée.
exercises.items.42.tips.0,Держите спину прямой на протяжении всего движения,Podczas wykonywania ruchu utrzymuj proste plecy.,Håll ryggen rak under hela rörelsen.,Po celou dobu pohybu držte záda rovná.,Počas celého pohybu držte chrbát rovno.,Pidä selkä suorana koko liikkeen ajan.,Mantieni la schiena dritta durante tutto il movimento.,Halten Sie Ihren Rücken während der gesamten Bewegung gerade.,Gardez le dos droit tout au long du mouvement.
exercises.items.42.tips.1,Не округляйте поясницу,Nie zaokrąglaj dolnej części pleców,Runda inte nedre delen av ryggen,Nezakulacujte spodní část zad,Nezaobľujte spodnú časť chrbta,Älä pyöristä alaselkääsi,Non arrotondare la parte bassa della schiena,Machen Sie keinen Rundumblick im unteren Rücken,Ne arrondissez pas le bas du dos
exercises.items.42.tips.2,Двигайте штангу близко к телу,Przesuń sztangę bliżej ciała,Flytta stången nära din kropp,Přibližte tyč k tělu,Posuňte tyč bližšie k telu,Siirrä tanko lähelle vartaloasi,Avvicina la barra al tuo corpo,Bewegen Sie die Stange nah an Ihren Körper,Rapprochez la barre de votre corps
exercises.items.42.tips.3,Начинайте с легкого веса,Zacznij od lekkich ciężarków,Börja med lätta vikter,Začněte s lehkými váhami,Začnite s ľahkými váhami,Aloita kevyillä painoilla,Inizia con pesi leggeri,Beginnen Sie mit leichten Gewichten,Commencez avec des poids légers
,,,,,,,,,
exercises.items.43.title,Жим лежа,Wyciskanie na ławce,Bänkpress,Bench press,Bench press,Penkkipunnerrus,Panca piana,Bankdrücken,Développé couché
exercises.items.43.instructions.0,"Лягте на скамью, ноги на полу",Połóż się na ławce ze stopami na podłodze.,Lägg dig på bänken med fötterna på golvet.,Lehněte si na lavici s nohama na podlaze.,Ľahnite si na lavičku s nohami na podlahe.,Makaa penkillä jalat lattialla.,Sdraiati sulla panca con i piedi sul pavimento.,Legen Sie sich mit den Füßen auf dem Boden auf die Bank.,Allongez-vous sur le banc avec vos pieds sur le sol.
exercises.items.43.instructions.1,Возьмите штангу широким хватом,Chwyć sztangę szerokim chwytem,Ta skivstången med ett brett grepp,Vezměte činku širokým úchopem,Vezmite činku širokým úchopom,Ota tanko leveällä otteella,Prendi il bilanciere con una presa larga,Nehmen Sie die Langhantel mit weitem Griff,Prenez la barre avec une prise large
exercises.items.43.instructions.2,Опустите штангу к груди контролируемо,Opuszczaj sztangę do klatki piersiowej w sposób kontrolowany.,Sänk stången till bröstet på ett kontrollerat sätt.,Kontrolovaně spusťte tyč k hrudi.,Kontrolovane spustite tyč k hrudníku.,Laske tanko rintaasi vasten hallitusti.,Abbassare la barra verso il petto in modo controllato.,Senken Sie die Stange kontrolliert auf Ihre Brust.,Abaissez la barre jusqu’à votre poitrine de manière contrôlée.
exercises.items.43.instructions.3,Выжмите штангу вверх,Wyciskanie sztangi w górę,Tryck skivstången uppåt,Stiskněte činku nahoru,Stlačte činku nahor,Paina tanko ylös,Spingere il bilanciere verso l'alto,Drücken Sie die Langhantel nach oben,Appuyez sur la barre vers le haut
exercises.items.43.instructions.4,Выполните 3-4 подхода по 6-10 повторений,Wykonaj 3-4 serie po 6-10 powtórzeń,Utför 3-4 set med 6-10 reps,Proveďte 3-4 sady po 6-10 opakováních,Vykonajte 3-4 sady po 6-10 opakovaní,Suorita 3-4 sarjaa 6-10 toistoa,Eseguire 3-4 serie da 6-10 ripetizioni,Führen Sie 3-4 Sätze mit 6-10 Wiederholungen durch,Effectuez 3 à 4 séries de 6 à 10 répétitions
